Language,Average Accuracy Before Preprocessing (%),Accuracy After Preprocessing (Image 1) (%),Accuracy After Preprocessing (Image 2) (%),Average Accuracy After Preprocessing (%),Contrast,Denoise,Invert,Blur,Threshold Method,Block Size,C,OCR Output (Image 1),OCR Output (Image 2),Ground Truth
Arabic,0,63.43,73.88,68.66,1.2,9,FALSE,median,adaptive_gaussian,15,4,قفزت القط فوق السياج. هبطت بهدوء على العشب الأخضر. كانت الشمس مشرقة فوقها. طار طائر صغير من شجرة قريبة.,قغوت القطا فيق اللسوااي هبطلت رهدوه على العشب التخضر قلات الضمس مشرقة فوقهة طلر طاقر صغير من ضجرة قري وفي القت نفسه : نباج كلب بصوت عال. مسقت للفيراق من الأفجال,"قفزت القط فوق السياج. هبطت بهدوء على العشب الأخضر. كانت الشمس مشرقة فوقها. طار طائر صغير من شجرة قريبة.     وفي الوقت نفسه ، نباح كلب بصوت عال. سقطت الأوراق من الأشجار."
Bengali,33.33,62.22,72.22,67.22,1.2,1,FALSE,median,none,N/A,N/A,"এটটিসবুজ ঘাস নরমভাব অবতরণ করছে সূর্য উজ্জ্বলভাবওভারহডে জ্বলজ্বল করছলি। একটছিছেট পাখটকাছরে গাছ থকেেড়গেছে এদকিত, একটক্ককুর জশোর জেশের কাঁপছ গাছ থকেপোতা পড়গেলে।",বড়ালটবিড়োর উপর দধযিলোফযিেঠল। এটটিসবুজ ঘাস নেরমভাব অবতরণ করছে সূর্য উজ্জ্বলভাবওভারহডে জ্বলজ্বল করছলি। একট ছিণেট পাখটকাছরে গাছ থকেডেড়গেছে এদকিত একটক্কিকুর জণোর জৈশের কাঁপছ গাছ থকেপোতা পড়গেলে।,"বিড়ালটি বেড়ার উপর দিয়ে লাফিয়ে উঠল। এটি সবুজ ঘাসে নরমভাবে অবতরণ করেছে। সূর্য উজ্জ্বলভাবে ওভারহেড জ্বলজ্বল করছিল। একটি ছোট পাখি কাছের গাছ থেকে উড়ে গেছে।     এদিকে, একটি কুকুর জোরে জোরে কাঁপছে। গাছ থেকে পাতা পড়ে গেল।"
Chinese (Simplified),93.33,96.67,95,95.83,1.2,none,FALSE,median,otsu,N/A,N/A,猫 跳过 篱 笛 。 它 轻 轻 地 降落 在 绿 草 上 。 太阳 在 头顶 闪闪 发 光 。一 只 小 鸟 从 附近 的 树 上 飞 来 。同时 ， 一 只 狗 大 声 叶 叫 。 叶子 从树 上 掉 下 来 。,猫 跳过 篇 乞 。 它 轻 轻 地 降落 在 绿 草 上 。 太阳 在 头顶 闪闪 发 光 。一 只 小 鸟 从 附近 的 树 上 飞 来 。同时 ， 一 只 狗 大 声 嘱 叫 。 叶子 从树 上 掉 下 来 。,猫跳过篱笆。 它轻轻地降落在绿草上。 太阳在头顶闪闪发光。 一只小鸟从附近的树上飞来。     同时，一只狗大声吠叫。 叶子从树上掉下来。
Czech,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Kočka skočila přes plot. Tiše přistál na zelené trávě. Slunce zářilo jasně nad hlavou. Z nedalekého stromu letěl malý pták. Mezitím pes hlasitě štěkal. Listy padly ze stromů.,Kočka skočila přes plot. Tiše přistál na zelené trávě. Slunce zářilo jasně nad hlavou. Z nedalekého stromu letěl malý pták. Mezitím pes hlasitě štěkal. Listy padly ze stromů.,Kočka skočila přes plot. Tiše přistál na zelené trávě. Slunce zářilo jasně nad hlavou. Z nedalekého stromu letěl malý pták.     Mezitím pes hlasitě štěkal. Listy padly ze stromů.
Danish,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Katten sprang over hegnet. Det landede blidt på det grønne græs. Solen skinnede lyst over hovedet. En lille fugl fløj fra et nærliggende træ. I mellemtiden bjeffede en hund højt. Blade faldt fra træerne.,Katten sprang over hegnet. Det landede blidt på det grønne græs. Solen skinnede lyst over hovedet. En lille fugl fløj fra et nærliggende træ. I mellemtiden bjeffede en hund højt. Blade faldt fra træerne.,Katten sprang over hegnet. Det landede blidt på det grønne græs. Solen skinnede lyst over hovedet. En lille fugl fløj fra et nærliggende træ.     I mellemtiden bjeffede en hund højt. Blade faldt fra træerne.
Dutch,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,De kat sprong over het hek. Het landde zachtjes op het groene gras. De zon scheen helder boven het hoofd. Een kleine vogel vloog uit een boom in de buurt. Ondertussen blafte een hond luid. Bladeren vielen uit de bomen.,De kat sprong over het hek. Het landde zachtjes op het groene gras. De zon scheen helder boven het hoofd. Een kleine vogel vloog uit een boom in de buurt. Ondertussen blafte een hond luid. Bladeren vielen uit de bomen.,De kat sprong over het hek. Het landde zachtjes op het groene gras. De zon scheen helder boven het hoofd. Een kleine vogel vloog uit een boom in de buurt.     Ondertussen blafte een hond luid. Bladeren vielen uit de bomen.
English,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"The cat jumped over the fence. It landed softly on the green grass. The sun was shining brightly overhead. A small bird flew from a nearby tree. Meanwhile, a dog barked loudly. Leaves fell from the trees.","The cat jumped over the fence. It landed softly on the green grass. The sun was shining brightly overhead. A small bird flew from a nearby tree. Meanwhile, a dog barked loudly. Leaves fell from the trees.","The cat jumped over the fence. It landed softly on the green grass. The sun was shining brightly overhead. A small bird flew from a nearby tree.     Meanwhile, a dog barked loudly. Leaves fell from the trees."
Filipino,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"Tumalon ang pusa sa bakod. Malapit itong lumapag sa berdeng damo. Ang araw ay nagniningning ng maliwanag na overhead. Isang maliit na ibon ang lumipad mula sa isang kalapit na puno. Samantala, ang isang aso ay malakas na barked. Ang mga dahon ay nahulog mula sa mga puno.","Tumalon ang pusa sa bakod. Malapit itong lumapag sa berdeng damo. Ang araw ay nagniningning ng maliwanag na overhead. Isang maliit na ibon ang lumipad mula sa isang kalapit na puno. Samantala, ang isang aso ay malakas na barked. Ang mga dahon ay nahulog mula sa mga puno.","Tumalon ang pusa sa bakod. Malapit itong lumapag sa berdeng damo. Ang araw ay nagniningning ng maliwanag na overhead. Isang maliit na ibon ang lumipad mula sa isang kalapit na puno.     Samantala, ang isang aso ay malakas na barked. Ang mga dahon ay nahulog mula sa mga puno."
Finnish,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,Kissa hyppäsi aidan yli. Se laskeutui pehmeästi vihreään ruohoon. Aurinko paistoi kirkkaasti yläpuolella. Pieni lintu lensi läheisestä puusta. Samaan aikaan koira haukkui äänekkäästi. Lehdet putosivat puista.,Kissa hyppäsi aidan yli. Se laskeutui pehmeästi vihreään ruohoon. Aurinko paistoi kirkkaasti yläpuolella. Pieni lintu lensi läheisestä puusta. Samaan aikaan koira haukkui äänekkäästi. Lehdet putosivat puista.,Kissa hyppäsi aidan yli. Se laskeutui pehmeästi vihreään ruohoon. Aurinko paistoi kirkkaasti yläpuolella. Pieni lintu lensi läheisestä puusta.     Samaan aikaan koira haukkui äänekkäästi. Lehdet putosivat puista.
French,100,100,100,100,1,none,FALSE,none,none,N/A,N/A,"Le chat a sauté par-dessus la clôture. Il a atterri doucement sur l'herbe verte. Le soleil brillait au-dessus de la tête. Un petit oiseau a volé d'un arbre voisin. Pendant ce temps, un chien aboya fort. Les feuilles sont tombées des arbres.","Le chat a sauté par-dessus la clôture. Il a atterri doucement sur l'herbe verte. Le soleil brillait au-dessus de la tête. Un petit oiseau a volé d'un arbre voisin. Pendant ce temps, un chien aboya fort. Les feuilles sont tombées des arbres.","Le chat a sauté par-dessus la clôture. Il a atterri doucement sur l'herbe verte. Le soleil brillait au-dessus de la tête. Un petit oiseau a volé d'un arbre voisin.     Pendant ce temps, un chien aboya fort. Les feuilles sont tombées des arbres."
